OBJECTID,ADDRNUM,PREFIX,STREETNAME,STREETTYPE,SUFFIX,ROUTE,SUBADDRESS,MUNICIPALITY,ZIP,FULL_ADDRESS,STATE,ALI_CITY,ALIAS1,ALIAS2,PLACENAME,GlobalID,CreationDate,Creator,EditDate,Editor,Phone,URL,longitude,latitude
"12","80",,RIDGE,RD,,34B,T LANSING,TOWN OF LANSING,"14882",80 RIDGE RD,NY,LANSING,LANSING STATION 1,,LANSING FIRE CENTRAL STATION,{2B937A38-A935-424D-8D3A-FDDE43C11333},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-5334203,https://www.facebook.com/LansingFireDepartmentInc/,-76.513001,42.539664
"13","47",,SYLVAN,LN,,,T DANBY,TOWN OF DANBY,"14883",47 SYLVAN LN,NY,SPENCER,,,WEST DANBY FIRE STATION,{1907B50E-C2CD-4B77-B6E3-4CEDA3BB8801},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-564-7303,https://www.facebook.com/westdanbyfire/,-76.528653,42.313340
"14","310",W,GREEN,ST,,"79",C ITHACA,CITY OF ITHACA,"14850",310 W GREEN ST,NY,ITHACA,ITHACA FIRE CENTRAL STATION,,CITY OF ITHACA FIRE DEPT,{C7FAEEA0-5FE7-4872-91B4-B368F6A366FC},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-272-1234,https://www.facebook.com/ithacafire/,-76.502418,42.438756
"15","26",,NORTH,ST,,"13",V DRYDEN,VILLAGE OF DRYDEN,"13053",26 NORTH ST,NY,DRYDEN,,,DRYDEN FIRE STATION,{ADF9D0D4-5A90-44C0-953D-E2E3C28A5172},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-844-8124,https://www.facebook.com/Neptune-Hose-Co-1-of-Dryden-Inc-211545062531,-76.297402,42.493901
"16","26",,WOOD,RD,,,T DRYDEN,TOWN OF DRYDEN,"13062",26 WOOD RD,NY,ETNA,,,ETNA FIRE DEPARTMENT,{A9424483-E68F-4EFC-9A16-54C3F35A8FAF},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-347-4511,http://etnafire.webs.com/aboutus.htm,-76.392845,42.485184
"17","172",,ENFIELD MAIN,RD,,"327",T ENFIELD,TOWN OF ENFIELD,"14850",172 ENFIELD MAIN RD,NY,ITHACA,,,ENFIELD FIRE STATION,{D581A6D1-4015-431D-A150-664A0F7A0895},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-272-8757,http://enfieldfirecompany.com/,-76.631950,42.437662
"18","14",,TURKEY HILL,RD,,"161",T DRYDEN,TOWN OF DRYDEN,"14850",14 TURKEY HILL RD,NY,ITHACA,VARNA VOLUNTEER FIRE CO,,VARNA FIRE STATION,{D3755ECE-49A0-4E22-8050-8ACFADEF4406},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-273-2407,http://varnafire.org/,-76.428113,42.458826
"19","786",,VALLEY,RD,,"115",T CAROLINE,TOWN OF CAROLINE,"14817",786 VALLEY RD,NY,BROOKTONDALE,,,BROOKTONDALE FIRE STATION,{00C4ED52-597A-4091-B5D5-C4017F38DBD5},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-539-7173,https://www.facebook.com/BrooktondaleFire/,-76.370659,42.384922
"20","7",,WHITE CHURCH,RD,,"113",T CAROLINE,TOWN OF CAROLINE,"14817",7 WHITE CHURCH RD,NY,BROOKTONDALE,,,BROOKTONDALE VOLUNTEER FIRE CO,{3F918348-F160-4772-92E2-BA528426EA5E},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-539-7173,https://www.facebook.com/BrooktondaleFire/,-76.385273,42.380216
"21","76",,BROWN,RD,,"124",V LANSING,VILLAGE OF LANSING,"14850",76 BROWN RD,NY,ITHACA,,,TOMPKINS COUNTY FIRE AND RESCUE,{32AC9750-128F-4319-B567-7EC8682E1C89},2017/08/18,TompkinsGIS,2017/08/18,TompkinsGIS,,,-76.457258,42.487498
"22","194",,PLEASANT GROVE,RD,,,V CAYUGA HEIGHTS,VILLAGE OF CAYUGA HEIGHTS,"14850",194 PLEASANT GROVE RD,NY,ITHACA,,,CAYUGA HEIGHTS FIRE DEPARTMENT,{614AF925-73EC-4330-8EBB-6FF67B499780},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-257-2377,http://www.chfd.net/,-76.478352,42.467909
"23","74",W,MAIN,ST,,"96",V TRUMANSBURG,VILLAGE OF TRUMANSBURG,"14886",74 W MAIN ST,NY,TRUMANSBURG,,,TRUMANSBURG FIRE DEPT,{EFBE565E-9A51-493D-81EB-0EFDE30F8C48},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-387-7131,http://www.trumansburgfire.com/,-76.667680,42.543983
"24","77",,MAIN,ST,,,T NEWFIELD,TOWN OF NEWFIELD,"14867",77 MAIN ST,NY,NEWFIELD,NEWFIELD FIRE COMPANY,,NEWFIELD FIRE DEPT,{9B9CFFDD-AAE9-4AB1-BEFE-9484631D7A07},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-564-7222,https://www.facebook.com/NewfieldFireCompany/,-76.582340,42.366675
"25","1780",,DANBY,RD,,96B,T DANBY,TOWN OF DANBY,"14850",1780 DANBY RD,NY,ITHACA,,,DANBY FIRE STATION,{18A8EE1F-DDEB-4048-8707-DC4C179D2D3D},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-272-8114,http://danbyfiredept.com/,-76.483282,42.357203
"26","965",,DANBY,RD,,96B,T ITHACA,TOWN OF ITHACA,"14850",965 DANBY RD,NY,ITHACA,SOUTH HILL FIRE STATION,SOUTH HILL STATION 5,IFD SOUTH HILL FIRE STATION 5,{79325836-0908-4AC5-9407-0540CA8CD459},2017/08/18,TompkinsGIS,2017/08/25,TompkinsGIS,607-272-1234,https://www.facebook.com/ithacafire/,-76.501735,42.418432
"27","231",,LOWER CREEK,RD,,,T DRYDEN,TOWN OF DRYDEN,"14850",231 LOWER CREEK RD,NY,ITHACA,,,ETNA VOLUNTEER FD TRAINING BLDG,{A6939F66-06C0-4902-A5B7-108E6868F24D},2017/08/18,TompkinsGIS,2017/08/18,TompkinsGIS,,,-76.401684,42.478165
